Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Measurements,Price,Data Url
1615087,CUSHION,0.52,VS1,L,EX,EX,VG,F,4.76-4.33×2.94,906.83,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-23/
1651024,CUSHION,0.53,SI2,U-V,EX,EX,VG,M,4.57-4.52×3.03,912.12,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-6/
1601291,CUSHION,0.51,SI2,FANCY,EX,EX,GD,F,4.47-4.36×3.03,915.44,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-9/
1668188,CUSHION,0.5,VS1,L,VG,EX,VG,F,4.67-4.42×2.97,918.96,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-70/
1634089,CUSHION,0.51,VS2,K,VG,EX,VG,F,4.82-4.27×2.92,924.29,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-41/
1778463,CUSHION,0.42,SI1,J,EX,EX,VG,N,4.70-3.98×2.69,927.84,https://capitalwholesalediamonds.com/product/0-42-ct-cushion-2/
1651015,CUSHION,0.51,VS1,K,EX,EX,VG,F,4.76-4.35×2.95,932.19,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-38/
1595010,CUSHION,0.51,VS1,K,EX,EX,EX,N,5.00-4.33×2.95,934.90,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-40/
1616438,CUSHION,0.5,VS1,K,EX,EX,EX,N,4.87-4.20×2.85,940.66,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-67/
1609796,CUSHION,0.52,VS1,K,EX,EX,VG,N,5.10-4.34×2.92,941.92,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-22/
1628272,CUSHION,0.53,SI2,K,EX,EX,VG,N,4.57-4.57×3.07,948.84,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-17/
1608444,CUSHION,0.51,VS1,K,EX,VG,VG,N,4.72-4.31×2.92,958.73,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-39/
1615081,CUSHION,0.52,VVS2,K,EX,EX,VG,N,5.00-4.32×2.90,959.96,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-21/
1595345,CUSHION,0.72,SI2,FANCY,EX,EX,VG,F,5.03-4.79×3.26,960.77,https://capitalwholesalediamonds.com/product/0-72-ct-cushion-5/
1665796,CUSHION,0.5,VS1,K,EX,EX,VG,F,4.93-4.28×2.86,963.05,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-66/
1672859,CUSHION,0.52,VS2,U-V,EX,EX,VG,N,4.67-4.57×2.76,963.47,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-4/
1608428,CUSHION,0.5,VVS1,K,VG,EX,VG,N,4.52-4.31×2.97,968.24,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-62/
1634090,CUSHION,0.53,VS2,L,EX,EX,VG,N,4.87-4.43×2.92,973.58,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-18/
1664496,CUSHION,0.53,VVS2,U-V,EX,EX,VG,F,4.82-4.46×2.97,975.35,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-5/
1728491,CUSHION,0.66,SI2,W-X,EX,EX,EX,F,4.90-4.83×3.19,981.59,https://capitalwholesalediamonds.com/product/0-66-ct-cushion-5/
1608430,CUSHION,0.57,VVS1,L,EX,EX,VG,N,4.84-4.55×3.05,981.59,https://capitalwholesalediamonds.com/product/0-57-ct-cushion-3/
1591215,CUSHION,0.5,SI2,J,VG,EX,VG,N,4.62-4.31×2.96,987.31,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-61/
1667152,CUSHION,0.5,VVS2,K,VG,EX,VG,N,4.92-4.27×2.85,994.18,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-63/
1740864,CUSHION,0.53,SI1,FANCY,EX,EX,VG,M,4.58-4.47×2.94,994.55,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-21/
1793047,CUSHION,0.51,SI2,K,VG,EX,EX,N,4.92-4.35×2.81,994.82,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-60/
1622631,CUSHION,0.51,I1,FANCY,EX,VG,GD,F,4.38-4.38×3.04,1011.55,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-10/
1533986,CUSHION,0.66,SI2,FANCY,EX,EX,EX,M,4.80-4.77×3.23,1014.51,https://capitalwholesalediamonds.com/product/0-66-ct-cushion-2/
1601292,CUSHION,0.66,I2,FANCY,EX,VG,VG,F,5.00-4.73×3.15,1014.51,https://capitalwholesalediamonds.com/product/0-66-ct-cushion-3/
1555209,CUSHION,0.51,SI2,I,EX,VG,VG,F,4.83-4.39×2.97,1015.11,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-32/
1748166,CUSHION,0.61,I1,FANCY,EX,EX,GD,F,4.82-4.78×3.10,1016.33,https://capitalwholesalediamonds.com/product/0-61-ct-cushion-7/
1784949,CUSHION,0.45,SI2,F,EX,EX,VG,N,4.52-4.16×2.82,1017.89,https://capitalwholesalediamonds.com/product/0-45-ct-cushion/
1601289,CUSHION,0.5,SI1,FANCY,GD,EX,VG,F,4.20-4.14×3.11,1018.38,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-7/
1643526,CUSHION,0.52,IF,K,EX,EX,VG,N,4.63-4.41×2.99,1021.06,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-20/
1622485,CUSHION,0.59,VVS1,Y-Z,EX,VG,VG,N,4.90-4.52×3.06,1034.37,https://capitalwholesalediamonds.com/product/0-59-ct-cushion-16/
1779755,CUSHION,0.4,SI1,G,VG,VG,VG,N,4.32-3.92×2.73,1034.99,https://capitalwholesalediamonds.com/product/0-4-ct-cushion/
1651014,CUSHION,0.55,VVS2,W-X,EX,EX,VG,N,4.67-4.42×2.99,1041.90,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-2/
1604260,CUSHION,0.51,SI2,FANCY,EX,VG,VG,N,4.63-4.49×2.93,1044.18,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-8/
1664498,CUSHION,0.5,VS2,K,EX,VG,VG,F,5.10-4.21×2.76,1046.08,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-68/
1796910,CUSHION,0.34,VS1,H,EX,EX,VG,N,4.22-3.84×2.56,1050.50,https://capitalwholesalediamonds.com/product/0-34-ct-cushion-2/
1668191,CUSHION,0.51,SI2,I,EX,EX,EX,F,4.99-4.25×2.88,1051.23,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-33/
1761484,CUSHION,0.41,VS2,H,EX,EX,VG,F,4.58-3.97×2.68,1052.41,https://capitalwholesalediamonds.com/product/0-41-ct-cushion-3/
1549891,CUSHION,0.72,I1,FANCY,EX,VG,GD,M,5.55-4.67×3.17,1054.14,https://capitalwholesalediamonds.com/product/0-72-ct-cushion-6/
1533986,CUSHION,0.66,SI2,FANCY,EX,EX,EX,M,4.80-4.77×3.23,1014.51,https://capitalwholesalediamonds.com/product/0-66-ct-cushion-2/
1601292,CUSHION,0.66,I2,FANCY,EX,VG,VG,F,5.00-4.73×3.15,1014.51,https://capitalwholesalediamonds.com/product/0-66-ct-cushion-3/
1555209,CUSHION,0.51,SI2,I,EX,VG,VG,F,4.83-4.39×2.97,1015.11,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-32/
1748166,CUSHION,0.61,I1,FANCY,EX,EX,GD,F,4.82-4.78×3.10,1016.33,https://capitalwholesalediamonds.com/product/0-61-ct-cushion-7/
1784949,CUSHION,0.45,SI2,F,EX,EX,VG,N,4.52-4.16×2.82,1017.89,https://capitalwholesalediamonds.com/product/0-45-ct-cushion/
1601289,CUSHION,0.5,SI1,FANCY,GD,EX,VG,F,4.20-4.14×3.11,1018.38,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-7/
1643526,CUSHION,0.52,IF,K,EX,EX,VG,N,4.63-4.41×2.99,1021.06,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-20/
1622485,CUSHION,0.59,VVS1,Y-Z,EX,VG,VG,N,4.90-4.52×3.06,1034.37,https://capitalwholesalediamonds.com/product/0-59-ct-cushion-16/
1779755,CUSHION,0.4,SI1,G,VG,VG,VG,N,4.32-3.92×2.73,1034.99,https://capitalwholesalediamonds.com/product/0-4-ct-cushion/
1651014,CUSHION,0.55,VVS2,W-X,EX,EX,VG,N,4.67-4.42×2.99,1041.90,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-2/
1604260,CUSHION,0.51,SI2,FANCY,EX,VG,VG,N,4.63-4.49×2.93,1044.18,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-8/
1664498,CUSHION,0.5,VS2,K,EX,VG,VG,F,5.10-4.21×2.76,1046.08,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-68/
1796910,CUSHION,0.34,VS1,H,EX,EX,VG,N,4.22-3.84×2.56,1050.50,https://capitalwholesalediamonds.com/product/0-34-ct-cushion-2/
1668191,CUSHION,0.51,SI2,I,EX,EX,EX,F,4.99-4.25×2.88,1051.23,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-33/
1761484,CUSHION,0.41,VS2,H,EX,EX,VG,F,4.58-3.97×2.68,1052.41,https://capitalwholesalediamonds.com/product/0-41-ct-cushion-3/
1549891,CUSHION,0.72,I1,FANCY,EX,VG,GD,M,5.55-4.67×3.17,1054.14,https://capitalwholesalediamonds.com/product/0-72-ct-cushion-6/
1779754,CUSHION,0.44,SI1,D,EX,VG,GD,M,4.95-4.00×2.68,1059.29,https://capitalwholesalediamonds.com/product/0-44-ct-cushion/
1769463,CUSHION,0.4,VS2,I,EX,EX,VG,N,4.78-3.89×2.64,1065.38,https://capitalwholesalediamonds.com/product/0-4-ct-cushion-3/
1798209,CUSHION,0.55,VS2,O-P,EX,EX,EX,N,4.63-4.57×3.10,1067.66,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-10/
1795587,CUSHION,0.41,SI1,F,EX,EX,VG,N,4.66-3.98×2.64,1071.87,https://capitalwholesalediamonds.com/product/0-41-ct-cushion-2/
1799605,CUSHION,0.31,VVS1,E,EX,EX,VG,N,3.95-3.78×2.53,1072.54,https://capitalwholesalediamonds.com/product/0-31-ct-cushion-2/
1622484,CUSHION,0.55,VVS1,K,EX,EX,VG,N,4.74-4.48×3.04,1075.21,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-9/
1632732,CUSHION,0.7,VS2,N,EX,EX,VG,M,5.23-4.75×3.22,1078.14,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-85/
1786432,CUSHION,0.4,VS1,I,EX,EX,VG,N,4.25-4.06×2.74,1078.32,https://capitalwholesalediamonds.com/product/0-4-ct-cushion-2/
1629717,CUSHION,0.61,VVS1,Y-Z,EX,EX,VG,N,4.66-4.60×3.11,1087.25,https://capitalwholesalediamonds.com/product/0-61-ct-cushion-3/
1605151,CUSHION,0.75,SI1,K,EX,EX,VG,N,5.59-4.85×3.27,1087.54,https://capitalwholesalediamonds.com/product/0-75-ct-cushion-25/
1787776,CUSHION,0.52,SI1,K,EX,VG,VG,F,4.70-4.41×2.97,1094.65,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-50/
1696747,CUSHION,0.59,SI2,F,EX,EX,VG,N,4.97-4.53×3.06,1094.80,https://capitalwholesalediamonds.com/product/0-59-ct-cushion-18/
1595358,CUSHION,0.5,VS2,FANCY,EX,EX,GD,N,4.31-4.29×2.91,1103.97,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-4/
210106-130,CUSHION,1.02,SI1,FANCY,EX,EX,EX,F,6.51-5.28×3.58,1105.68,https://capitalwholesalediamonds.com/product/1-02-ct-cushion-37/
1651872,CUSHION,0.5,SI2,FANCY,EX,VG,GD,F,4.50-4.36×2.84,1108.29,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-10/
1608437,CUSHION,0.5,VVS2,J,EX,EX,VG,N,4.71-4.33×2.94,1127.33,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-56/
1657713,CUSHION,0.51,VS1,J,EX,EX,VG,M,4.76-4.37×2.96,1129.73,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-35/
1606855,CUSHION,0.51,VS2,J,EX,EX,EX,N,4.60-4.43×3.00,1131.60,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-36/
1781759,CUSHION,0.5,SI1,FANCY,EX,EX,VG,F,4.67-4.23×2.95,1133.99,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-80/
1615090,CUSHION,0.5,VS2,J,EX,VG,VG,N,4.52-4.42×2.98,1136.92,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-59/
1656380,CUSHION,0.5,SI2,J,EX,EX,VG,N,4.76-4.33×2.89,1137.73,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-60/
1781168,CUSHION,0.5,VS1,W-X,EX,EX,VG,N,4.78-4.38×2.94,1142.44,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-82/
1667156,CUSHION,0.5,VS1,I,VG,EX,VG,N,4.47-4.32×2.99,1142.87,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-49/
200684-435,CUSHION,1,SI1,L,EX,EX,VG,N,6.36-5.27×3.46,1784.06,https://capitalwholesalediamonds.com/product/1-ct-cushion-101/
1612594,CUSHION,0.73,SI1,I,EX,EX,EX,N,5.18-4.96×3.35,1784.67,https://capitalwholesalediamonds.com/product/0-73-ct-cushion-8/
1642260,CUSHION,0.52,VS2,E,EX,EX,EX,N,4.94-4.28×2.91,1786.23,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-6/
1574491,CUSHION,0.75,VVS1,FANCY,EX,EX,VG,M,5.28-4.88×3.31,1787.79,https://capitalwholesalediamonds.com/product/0-75-ct-cushion-2/
1796887,CUSHION,0.52,VS1,E,EX,EX,EX,N,4.82-4.40×2.93,1788.10,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-30/
201162-188,CUSHION,1.2,I1,U-V,EX,EX,GD,N,5.90-5.65×3.79,1788.85,https://capitalwholesalediamonds.com/product/1-2-ct-cushion-26/
1788945,CUSHION,0.5,VS1,F,EX,EX,VG,N,4.68-4.31×2.92,1793.09,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-117/
1605423,CUSHION,0.71,VVS2,FANCY,EX,VG,VG,N,4.96-4.86×3.28,1793.13,https://capitalwholesalediamonds.com/product/0-71-ct-cushion/
1752874,CUSHION,0.5,VVS2,F,EX,VG,EX,N,5.15-4.16×2.83,1796.54,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-112/
1798191,CUSHION,0.8,VVS2,W-X,EX,EX,VG,N,5.11-4.84×3.38,1796.81,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-177/
1786415,CUSHION,0.75,VVS2,K,VG,VG,VG,F,5.44-4.80×3.35,1796.91,https://capitalwholesalediamonds.com/product/0-75-ct-cushion-45/
1652685,CUSHION,0.8,SI1,J,VG,EX,VG,N,5.51-4.94×3.44,1797.00,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-144/
1572449,CUSHION,0.8,SI1,J,EX,VG,VG,N,5.34-5.15×3.44,1798.16,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-142/
1800392,CUSHION,0.63,SI1,FANCY,EX,EX,VG,F,4.85-4.56×3.18,1799.83,https://capitalwholesalediamonds.com/product/0-63-ct-cushion-5/
1794048,CUSHION,0.5,VS1,F,EX,EX,VG,N,4.73-4.30×2.83,1799.95,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-114/
1608391,CUSHION,0.8,VS1,K,EX,EX,EX,N,5.21-5.12×3.48,1801.06,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-152/
210454-288,CUSHION,0.96,SI2,FANCY,EX,EX,GD,M,5.34-5.30×3.60,1801.40,https://capitalwholesalediamonds.com/product/0-96-ct-cushion-35/
1640853,CUSHION,0.76,SI2,I,EX,EX,VG,N,5.94-4.80×3.19,1801.95,https://capitalwholesalediamonds.com/product/0-76-ct-cushion-3/
1791717,CUSHION,0.55,VS1,G,EX,EX,VG,N,4.85-4.46×3.01,1802.03,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-15/
1650989,CUSHION,0.8,VVS1,K,EX,EX,VG,ST,5.75-5.00×3.39,1803.97,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-148/
1798197,CUSHION,0.5,VVS2,F,EX,EX,VG,N,4.52-4.35×2.96,1804.14,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-111/
1624964,CUSHION,0.71,SI2,I,EX,EX,EX,N,5.05-5.04×3.38,1805.53,https://capitalwholesalediamonds.com/product/0-71-ct-cushion-17/
1549893,CUSHION,0.77,VS1,FANCY,EX,EX,VG,N,5.40-4.90×3.30,1806.27,https://capitalwholesalediamonds.com/product/0-77-ct-cushion-2/
1638125,CUSHION,0.76,SI1,H,EX,EX,VG,M,5.38-4.95×3.35,1816.35,https://capitalwholesalediamonds.com/product/0-76-ct-cushion-2/
200673-165,CUSHION,1.01,VS2,W-X,EX,EX,VG,N,5.51-5.45×3.71,1816.85,https://capitalwholesalediamonds.com/product/1-01-ct-cushion-37/
1656375,CUSHION,0.53,VS2,E,EX,EX,EX,N,4.74-4.43×3.01,1817.51,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-8/
1665797,CUSHION,0.51,VS2,D,EX,EX,VG,N,4.98-4.19×2.85,1823.01,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-46/
1790068,CUSHION,0.61,VS2,FANCY,EX,EX,VG,N,4.66-4.51×3.12,1824.56,https://capitalwholesalediamonds.com/product/0-61-ct-cushion-6/
1626255,CUSHION,0.59,VS2,F,EX,EX,VG,N,4.76-4.60×3.13,1825.05,https://capitalwholesalediamonds.com/product/0-59-ct-cushion-5/
1749079,CUSHION,0.8,VS1,K,VG,EX,VG,N,5.23-5.03×3.51,1825.20,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-217/
213119-14,CUSHION,0.96,VS2,M,VG,EX,EX,N,5.49-5.38×3.76,1825.91,https://capitalwholesalediamonds.com/product/0-96-ct-cushion-54/
1652692,CUSHION,0.71,VS2,J,EX,EX,VG,N,5.75-4.67×3.16,1826.33,https://capitalwholesalediamonds.com/product/0-71-ct-cushion-19/
1667148,CUSHION,0.7,SI2,G,VG,VG,VG,N,5.22-4.87×3.30,1827.31,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-47/
1612593,CUSHION,0.7,SI1,F,EX,EX,VG,N,5.19-4.79×3.25,1829.68,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-35/
200775-59,CUSHION,1.2,SI2,FANCY,EX,EX,VG,N,6.06-6.04×3.70,1830.75,https://capitalwholesalediamonds.com/product/1-2-ct-cushion-19/
1624933,CUSHION,0.8,VS2,J,VG,EX,GD,F,5.44-4.98×3.49,1832.93,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-137/
1765482,CUSHION,0.53,VS2,D,EX,EX,EX,N,4.78-4.36×2.95,1833.14,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-35/
1794044,CUSHION,0.56,VS1,D,EX,EX,EX,M,4.79-4.60×3.02,1834.26,https://capitalwholesalediamonds.com/product/0-56-ct-cushion-10/
1624956,CUSHION,0.7,SI2,E,EX,EX,VG,N,5.72-4.71×3.12,1834.47,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-27/
1606846,CUSHION,0.6,VS2,F,EX,EX,VG,N,5.04-4.60×3.12,1835.68,https://capitalwholesalediamonds.com/product/0-6-ct-cushion-6/
1794043,CUSHION,0.5,VVS2,G,EX,EX,EX,N,4.53-4.42×3.00,1837.18,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-139/
1717263,CUSHION,0.8,SI1,H,VG,EX,EX,N,5.63-4.82×3.36,1837.71,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-208/
1786424,CUSHION,0.55,VS2,D,EX,EX,VG,N,4.84-4.46×3.03,1841.04,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-20/
210205-209,CUSHION,1.01,VS1,FANCY,EX,EX,VG,M,5.67-5.53×3.73,1843.16,https://capitalwholesalediamonds.com/product/1-01-ct-cushion-111/
1639555,CUSHION,0.7,SI1,F,EX,EX,VG,F,5.17-4.85×3.28,1844.50,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-33/
1784936,CUSHION,0.7,SI1,I,EX,EX,EX,F,5.26-4.79×3.25,1845.14,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-136/
1799599,CUSHION,0.5,VS1,F,EX,EX,EX,N,4.47-4.42×2.98,1846.33,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-116/
1774081,CUSHION,0.53,VS1,F,EX,EX,VG,N,4.58-4.51×3.06,1848.29,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-23/
211187-35,CUSHION,1.2,SI2,L,GD,VG,VG,SL,5.82-5.79×3.99,1849.90,https://capitalwholesalediamonds.com/product/1-2-ct-cushion-132/
1608421,CUSHION,0.7,SI2,E,VG,EX,EX,N,4.94-4.91×3.39,1850.44,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-23/
1790976,CUSHION,0.51,VS1,D,EX,EX,VG,F,4.94-4.26×2.88,1853.24,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-62/
1638132,CUSHION,0.7,SI2,D,EX,VG,VG,N,5.30-4.93×3.24,1853.94,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-81/
1636074,CUSHION,0.75,SI1,J,EX,EX,VG,N,5.31-4.99×3.39,1856.62,https://capitalwholesalediamonds.com/product/0-75-ct-cushion-24/
1574489,CUSHION,0.77,VVS2,FANCY,EX,EX,VG,N,5.06-5.05×3.40,1856.86,https://capitalwholesalediamonds.com/product/0-77-ct-cushion/
1793042,CUSHION,0.55,VS2,E,EX,EX,EX,N,5.19-4.34×2.92,1857.85,https://capitalwholesalediamonds.com/product/0-55-ct-cushion-13/
1788946,CUSHION,0.53,VS2,D,EX,EX,EX,N,5.00-4.35×2.95,1860.93,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-34/
1767812,CUSHION,0.5,VVS2,E,EX,EX,EX,N,4.67-4.38×2.99,1865.17,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-84/
1778458,CUSHION,0.72,SI2,E,EX,EX,VG,N,5.23-4.92×3.35,1865.32,https://capitalwholesalediamonds.com/product/0-72-ct-cushion-37/
1599896,CUSHION,0.7,SI2,D,VG,EX,VG,N,5.22-4.81×3.35,1865.94,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-77/
1574488,CUSHION,0.84,VS1,FANCY,EX,VG,VG,N,5.23-5.15×3.41,1866.42,https://capitalwholesalediamonds.com/product/0-84-ct-cushion/
1787759,CUSHION,0.7,VS2,J,EX,EX,VG,F,5.02-4.90×3.33,1866.62,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-142/
1796906,CUSHION,0.6,VS2,H,VG,EX,VG,N,4.99-4.47×3.11,1870.26,https://capitalwholesalediamonds.com/product/0-6-ct-cushion-9/
1664758,CUSHION,0.75,SI2,FANCY,EX,VG,VG,M,5.14-5.13×3.32,1872.07,https://capitalwholesalediamonds.com/product/0-75-ct-cushion-5/
1636049,CUSHION,0.79,VS1,K,EX,EX,EX,F,5.36-5.01×3.40,1873.11,https://capitalwholesalediamonds.com/product/0-79-ct-cushion/
1784939,CUSHION,0.7,SI2,G,VG,EX,VG,N,5.03-4.80×3.35,1873.72,https://capitalwholesalediamonds.com/product/0-7-ct-cushion-126/
201143-199,CUSHION,1.1,I1,FANCY,EX,EX,EX,N,5.94-5.72×3.80,1875.97,https://capitalwholesalediamonds.com/product/1-1-ct-cushion/
210127-338,CUSHION,1.23,VS1,FANCY,EX,EX,VG,M,6.16-5.85×3.94,1876.03,https://capitalwholesalediamonds.com/product/1-23-ct-cushion-6/
1636071,CUSHION,0.72,SI1,H,GD,EX,VG,N,5.15-4.67×3.36,1878.32,https://capitalwholesalediamonds.com/product/0-72-ct-cushion-21/
1608405,CUSHION,0.8,SI1,J,EX,EX,VG,N,5.73-4.92×3.25,1878.63,https://capitalwholesalediamonds.com/product/0-8-ct-cushion-145/
1645999,CUSHION,0.71,SI1,I,VG,EX,GD,N,4.96-4.92×3.44,1880.29,https://capitalwholesalediamonds.com/product/0-71-ct-cushion-16/
1668186,CUSHION,0.53,VS1,D,EX,EX,EX,F,5.03-4.30×2.92,1882.55,https://capitalwholesalediamonds.com/product/0-53-ct-cushion-19/
1781166,CUSHION,0.52,VS1,F,EX,EX,EX,N,5.05-4.26×2.87,1883.03,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-39/
